L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.127087,1.332534,1.328893,1.305142,0.804407,1.017605,1.017485,0.991847,0.575397,0.587244,0.635224,0.681603,0.466974,0.487775,0.448289,0.396237,0.090627,0.084655,0.095734,0.067779,0.081946,0.058241,0.063082,0.048901
1.131831,1.337421,1.333921,1.3107,0.802088,1.015296,1.015148,0.989509,0.575327,0.586249,0.634272,0.680777,0.466954,0.487758,0.44825,0.396193,0.090195,0.086384,0.097342,0.06901,0.082106,0.058203,0.063062,0.048842
1.136807,1.342521,1.339171,1.31651,0.799617,1.012833,1.012659,0.987012,0.575228,0.585174,0.633242,0.679868,0.466931,0.487738,0.448206,0.396145,0.089767,0.088228,0.099043,0.070312,0.082279,0.058166,0.06304,0.048781
1.141961,1.34777,1.344579,1.322506,0.797009,1.010229,1.010033,0.98437,0.575094,0.584023,0.632139,0.678875,0.466905,0.487715,0.44816,0.396093,0.089354,0.090171,0.10082,0.071672,0.082464,0.058132,0.063014,0.048717
1.14723,1.353103,1.350078,1.328615,0.794281,1.0075,1.007287,0.981602,0.574925,0.582801,0.630968,0.677799,0.466875,0.487688,0.448109,0.396038,0.088963,0.092198,0.102656,0.073079,0.082663,0.058101,0.062985,0.048651
1.15255,1.358453,1.355601,1.334764,0.791452,1.004665,1.004439,0.978723,0.574718,0.581515,0.629735,0.676645,0.466842,0.487658,0.448055,0.39598,0.088602,0.094287,0.104531,0.07452,0.082873,0.058072,0.062952,0.048584
1.157857,1.363757,1.361081,1.340882,0.788539,1.001742,1.001505,0.975754,0.574475,0.580172,0.628447,0.675418,0.466806,0.487624,0.447999,0.395919,0.088276,0.096416,0.106424,0.075981,0.083094,0.058047,0.062916,0.048516
1.163092,1.368954,1.366459,1.346904,0.78556,0.998746,0.998503,0.972711,0.574201,0.578781,0.627114,0.674128,0.466768,0.487587,0.447941,0.395858,0.087986,0.098562,0.108314,0.077451,0.083325,0.058023,0.062878,0.048449
1.168199,1.373992,1.37168,1.352771,0.78253,0.995694,0.995447,0.969611,0.573896,0.57735,0.625741,0.672784,0.466728,0.487547,0.447881,0.395796,0.087731,0.100701,0.110185,0.078918,0.083565,0.058,0.062836,0.048382
1.173128,1.378826,1.376697,1.358432,0.779464,0.992598,0.99235,0.966468,0.573564,0.575888,0.624339,0.671396,0.466687,0.487504,0.447819,0.395734,0.087508,0.102812,0.11202,0.080371,0.083814,0.057978,0.062793,0.048317
1.177837,1.383414,1.381471,1.363842,0.776372,0.989471,0.989223,0.963294,0.573206,0.574404,0.622912,0.669975,0.466644,0.487459,0.447757,0.395674,0.08731,0.104874,0.113804,0.0818,0.084072,0.057955,0.062747,0.048253
1.182289,1.387725,1.385966,1.368965,0.773265,0.986323,0.986077,0.960101,0.572825,0.572903,0.621468,0.668531,0.466599,0.487412,0.447694,0.395616,0.08713,0.106866,0.115524,0.083196,0.084339,0.057932,0.062699,0.048192
1.186454,1.391731,1.390157,1.373767,0.77015,0.983162,0.982919,0.956898,0.57242,0.571394,0.620012,0.667072,0.466554,0.487363,0.44763,0.395559,0.086958,0.108771,0.117165,0.084547,0.084614,0.057908,0.06265,0.048132
1.190308,1.395413,1.394021,1.378225,0.767033,0.979994,0.979755,0.953691,0.571994,0.569881,0.618551,0.665607,0.466507,0.487313,0.447566,0.395505,0.086784,0.110572,0.118717,0.085842,0.084897,0.057883,0.062599,0.048075
1.193831,1.398754,1.397542,1.38232,0.763921,0.976824,0.976591,0.950486,0.571544,0.56837,0.617089,0.664143,0.466459,0.487261,0.447502,0.395453,0.0866,0.112253,0.120165,0.087068,0.08519,0.057858,0.062547,0.048019
1.197008,1.401743,1.400708,1.386035,0.760815,0.973657,0.973431,0.947286,0.571071,0.566866,0.61563,0.662686,0.466409,0.487207,0.447438,0.395403,0.086396,0.113801,0.121497,0.088211,0.085493,0.057832,0.062493,0.047965
1.199828,1.404373,1.403513,1.389361,0.757719,0.970496,0.970277,0.944094,0.570573,0.565372,0.614177,0.661238,0.466357,0.487153,0.447374,0.395356,0.086163,0.115203,0.122701,0.089256,0.085805,0.057806,0.062439,0.047911
1.202285,1.40664,1.405952,1.392292,0.754635,0.967341,0.967131,0.940911,0.57005,0.56389,0.612734,0.659804,0.466303,0.487097,0.44731,0.395311,0.085896,0.116447,0.123764,0.090185,0.086129,0.057781,0.062383,0.047859
1.204374,1.408544,1.408024,1.394824,0.751563,0.964194,0.963994,0.937737,0.569498,0.562423,0.611303,0.658382,0.466246,0.48704,0.447247,0.395268,0.085587,0.117521,0.124672,0.090983,0.086464,0.057756,0.062327,0.047808
1.206093,1.410084,1.409731,1.396958,0.748504,0.961056,0.960866,0.934574,0.568918,0.560971,0.609884,0.656973,0.466187,0.486982,0.447184,0.395228,0.085233,0.118418,0.125416,0.091634,0.086813,0.057732,0.06227,0.047757
1.207442,1.411265,1.411075,1.398695,0.745458,0.957927,0.957747,0.931419,0.568309,0.559533,0.608478,0.655574,0.466124,0.486922,0.447121,0.39519,0.084829,0.119129,0.125985,0.092122,0.087175,0.057709,0.062214,0.047707
1.208424,1.412089,1.412062,1.40004,0.742424,0.954807,0.954637,0.928274,0.56767,0.558109,0.607083,0.654183,0.466058,0.486861,0.447057,0.395153,0.084374,0.119648,0.12637,0.092435,0.087553,0.057687,0.062157,0.047657
1.209043,1.412565,1.412697,1.401002,0.739403,0.951694,0.951536,0.925137,0.567004,0.556697,0.605696,0.652796,0.465987,0.486798,0.446994,0.395118,0.083867,0.119971,0.126567,0.092564,0.087946,0.057667,0.062101,0.047608
1.209305,1.412698,1.412991,1.401588,0.736392,0.948589,0.948442,0.922008,0.566311,0.555292,0.604315,0.65141,0.465913,0.486734,0.446931,0.395083,0.083308,0.120093,0.126571,0.092503,0.088356,0.057648,0.062046,0.04756
1.209219,1.412499,1.412953,1.401812,0.733393,0.945491,0.945355,0.918884,0.565596,0.553891,0.602936,0.650022,0.465834,0.486669,0.446867,0.39505,0.082702,0.120015,0.126382,0.092252,0.088783,0.057629,0.061991,0.047512
1.208794,1.411979,1.412597,1.401688,0.730404,0.942398,0.942275,0.915766,0.564861,0.55249,0.601553,0.64863,0.465749,0.486603,0.446803,0.395018,0.082051,0.119736,0.126002,0.091814,0.08923,0.057612,0.061936,0.047465
1.208046,1.411152,1.411938,1.401233,0.727426,0.93931,0.9392,0.912653,0.564111,0.551085,0.600163,0.647232,0.46566,0.486537,0.446739,0.394987,0.081363,0.119258,0.125434,0.091194,0.089695,0.057596,0.061884,0.047419
1.20699,1.410033,1.410994,1.400466,0.724458,0.936226,0.936131,0.909544,0.563353,0.54967,0.59876,0.645826,0.465565,0.486472,0.446674,0.394957,0.080646,0.118584,0.124686,0.090404,0.090181,0.05758,0.061832,0.047373
1.205646,1.408642,1.409785,1.399412,0.721499,0.933147,0.933067,0.906438,0.56259,0.548242,0.597339,0.64441,0.465464,0.486406,0.446608,0.394926,0.079912,0.11772,0.123766,0.089456,0.090687,0.057565,0.061783,0.047328
1.204037,1.407,1.408335,1.398093,0.71855,0.930071,0.930008,0.903336,0.56183,0.546797,0.595898,0.642984,0.465358,0.486341,0.446541,0.394896,0.079173,0.116672,0.122683,0.088366,0.091215,0.05755,0.061736,0.047285
1.202189,1.405133,1.40667,1.396538,0.715611,0.926999,0.926953,0.900237,0.561076,0.545332,0.594431,0.641548,0.465247,0.486277,0.446472,0.394866,0.078444,0.115448,0.121451,0.08715,0.091765,0.057536,0.061692,0.047241
1.200133,1.403069,1.404821,1.394776,0.712681,0.92393,0.923903,0.897141,0.560334,0.543847,0.592938,0.640104,0.465131,0.486215,0.446404,0.394835,0.07774,0.114057,0.120082,0.085828,0.092337,0.057523,0.06165,0.047199
1.1979,1.400839,1.402817,1.392838,0.709762,0.920865,0.920857,0.894048,0.559605,0.542342,0.591418,0.638654,0.46501,0.486154,0.446334,0.394804,0.077079,0.112511,0.118592,0.084418,0.092934,0.057509,0.061611,0.047158
1.195526,1.398477,1.400693,1.390757,0.706854,0.917803,0.917816,0.890958,0.558893,0.540818,0.589873,0.637202,0.464884,0.486094,0.446265,0.394772,0.076477,0.110823,0.116998,0.082939,0.093555,0.057497,0.061575,0.047119
1.193046,1.396016,1.398481,1.388563,0.703957,0.914744,0.914779,0.887871,0.558197,0.53928,0.588307,0.635751,0.464755,0.486037,0.446196,0.394741,0.075947,0.109006,0.115314,0.081411,0.094202,0.057485,0.061542,0.04708
1.190495,1.393492,1.396214,1.386287,0.701072,0.91169,0.911748,0.884787,0.557517,0.537735,0.586727,0.634308,0.464622,0.485981,0.446126,0.394709,0.075502,0.107076,0.113557,0.079851,0.094876,0.057474,0.061512,0.047044
1.187907,1.390935,1.393921,1.383957,0.6982,0.908639,0.908722,0.881706,0.556852,0.536192,0.585142,0.632881,0.464487,0.485926,0.446057,0.394678,0.075148,0.105051,0.111742,0.078273,0.095579,0.057464,0.061486,0.047009
1.185311,1.388374,1.391629,1.381595,0.695343,0.905593,0.905703,0.87863,0.556201,0.534663,0.583565,0.631478,0.46435,0.485873,0.445987,0.394647,0.074891,0.102947,0.109881,0.076687,0.096311,0.057456,0.061463,0.046976
1.18273,1.385832,1.389358,1.37922,0.6925,0.902553,0.902691,0.875558,0.555563,0.533161,0.58201,0.63011,0.464212,0.485822,0.445919,0.394617,0.074729,0.100778,0.107986,0.075103,0.097074,0.057449,0.061444,0.046946
1.180181,1.383327,1.38712,1.376843,0.689674,0.899518,0.899686,0.872491,0.554938,0.531701,0.580495,0.62879,0.464074,0.485772,0.445851,0.394589,0.07466,0.098562,0.106066,0.073524,0.097871,0.057444,0.061428,0.046918
1.177675,1.380869,1.384925,1.374474,0.686865,0.89649,0.89669,0.869429,0.554327,0.5303,0.579035,0.62753,0.463936,0.485724,0.445784,0.394562,0.074677,0.096311,0.104129,0.071953,0.098702,0.057439,0.061416,0.046894
1.175215,1.378462,1.382773,1.372114,0.684075,0.893469,0.893703,0.866372,0.553735,0.528972,0.577646,0.626344,0.4638,0.485678,0.445719,0.394537,0.074774,0.09404,0.102183,0.070394,0.099569,0.057436,0.061408,0.046874
1.172801,1.376106,1.380661,1.369763,0.681305,0.890455,0.890726,0.863321,0.553164,0.527733,0.576344,0.625243,0.463665,0.485634,0.445655,0.394513,0.074939,0.091765,0.100236,0.068849,0.100475,0.057436,0.061403,0.046858
1.170427,1.373796,1.378582,1.367417,0.678557,0.887448,0.887759,0.860277,0.552621,0.526593,0.575141,0.624238,0.463531,0.48559,0.445593,0.394492,0.075162,0.089503,0.0983,0.067322,0.10142,0.057437,0.061402,0.046846
1.168085,1.371523,1.376526,1.365071,0.675832,0.88445,0.884804,0.857239,0.55211,0.525562,0.574047,0.623336,0.4634,0.485549,0.445533,0.394473,0.075433,0.087272,0.096386,0.065822,0.102406,0.05744,0.061405,0.046839
